task_t,replan_t,target_t,progress_bin,n_transitions,mean_delta_norm,std_delta_norm,mean_dPC1,mean_dPC2,mean_dPC3
4,0,2,6,1164,1.3110475889529551,0.625185805901741,0.533097783497237,-0.3997848118652183,0.33103825215928745
4,0,2,7,1161,1.2723259522648698,0.5997731014972766,0.5549300476141806,-0.48220677083176877,0.3239244752516208
4,0,2,8,1247,1.2645336175830355,0.6118071511284043,0.5747208565013496,-0.5267419130769173,0.3237200141051648
4,0,2,9,1446,1.3842366213047552,0.5849923477672004,0.7208570028264926,-0.6394439725460354,0.38053721387871897
4,0,3,0,1385,1.4645623131497134,0.6180681157390429,0.19332306663293916,0.36911346912921983,-0.22312677586552038
4,0,3,1,1169,1.4771300693482943,0.6444922034854457,0.19991475327451888,0.4407376095786423,-0.280462765102207
4,0,3,2,1272,1.4438717824980944,0.6752829820722421,0.15362379270892754,0.4957410554846737,-0.2624115712710791
4,0,3,3,1152,1.4145265579993267,0.6628762334293442,0.13827805094236587,0.4716851940934753,-0.31488043273404603
4,0,3,4,1163,1.3942189108314487,0.6724755097718341,0.12468011387057686,0.5415379863996331,-0.3257442959596308
4,0,3,5,1312,1.3596106361663083,0.6590113278723102,0.05846529082315633,0.5499960460683059,-0.3504210102184471
4,0,3,6,1178,1.2996780088492346,0.6513240528181574,-0.005278276677238668,0.6157167256827164,-0.34071275934415707
4,0,3,7,1107,1.2263657210690038,0.611378666235338,-0.11183313675083442,0.6459277539489607,-0.3227276794752064
4,0,3,8,1202,1.2487299145941628,0.6081744263445,-0.127330418982963,0.7216492031380137,-0.34214468647380314
4,0,3,9,1485,1.2381015498291463,0.6158289494966771,-0.20955329022749705,0.7463191288388538,-0.39773139412442743
