subid,batch,maze,n_trials,mean_n_action,mean_n_hit,mean_hit_rate,mean_shortest_steps,mean_excess_steps,mean_path_efficiency,reached_goal_rate,optimal_by_length_rate,clean_optimal_rate,exact_short_path_rate,mean_total_rt,mean_rt,mean_first_rt,mean_rt_after_first
17731093916,3,2,351,9.492877,1.259259,0.099634,6.37037,3.122507,0.764932,1.0,0.356125,0.356125,0.356125,9.358476,1.00552,3.116954,0.698143
17807329663,1,1,351,15.689459,4.065527,0.202717,7.698006,7.991453,0.617215,1.0,0.176638,0.176638,0.176638,10.150712,0.695095,1.732211,0.603115
17816536901,1,1,351,11.045584,0.982906,0.060005,7.851852,3.193732,0.810194,1.0,0.430199,0.430199,0.430199,9.97504,0.936491,3.412413,0.60476
17855007687,1,1,351,12.222222,1.424501,0.069065,7.760684,4.461538,0.757837,1.0,0.336182,0.336182,0.336182,15.281692,1.223095,5.61286,0.726644
17855830699,3,2,351,8.911681,0.940171,0.07094,6.39886,2.512821,0.810509,1.0,0.45584,0.45584,0.45584,8.028846,0.950006,3.148769,0.606373
17857583163,2,1,351,17.11396,4.706553,0.19627,7.461538,9.652422,0.604807,1.0,0.219373,0.219373,0.219373,15.97857,1.094792,6.608966,0.636134
17858990521,3,2,351,10.02849,1.22792,0.085468,6.424501,3.603989,0.758328,1.0,0.407407,0.407407,0.407407,16.916063,1.730441,5.194952,1.220632
17861900607,1,1,351,14.623932,2.920228,0.148115,7.925926,6.698006,0.668431,1.0,0.210826,0.210826,0.210826,11.396191,0.812841,4.238228,0.49101
17867964684,2,1,351,14.504274,2.968661,0.145026,7.854701,6.649573,0.670981,1.0,0.239316,0.239316,0.239316,11.269652,0.838015,3.227872,0.614796
17870688590,3,2,337,11.376855,2.397626,0.15591,6.362018,5.014837,0.670369,1.0,0.252226,0.252226,0.252226,9.409371,0.888249,4.288988,0.518281
18039860931,1,1,351,15.65812,4.316239,0.206948,7.757835,7.900285,0.624832,1.0,0.162393,0.162393,0.162393,10.075419,0.729201,3.345687,0.46283
18050650986,3,2,351,11.045584,2.193732,0.148616,6.310541,4.735043,0.689723,1.0,0.270655,0.270655,0.270655,8.289333,0.793713,1.800245,0.652606
18053307086,2,1,351,15.34188,3.866097,0.18665,7.7151,7.626781,0.630311,1.0,0.230769,0.230769,0.230769,7.600009,0.520154,1.314051,0.439248
18069197626,3,2,351,11.094017,2.464387,0.176487,6.339031,4.754986,0.676092,1.0,0.239316,0.239316,0.239316,5.476054,0.52649,1.167615,0.435879
18072335195,2,1,351,15.393162,3.330484,0.164753,7.65812,7.735043,0.636578,1.0,0.188034,0.188034,0.188034,12.769174,0.831999,2.466345,0.683423
18148006924,2,1,366,18.838798,5.538251,0.218429,7.655738,11.18306,0.580801,1.0,0.172131,0.172131,0.172131,11.80515,0.69647,4.362833,0.429009
18152184139,1,1,351,17.150997,4.581197,0.199551,7.817664,9.333333,0.604091,1.0,0.168091,0.168091,0.168091,10.734462,0.708634,3.208869,0.493462
18221989613,3,2,351,12.034188,2.509972,0.158029,6.390313,5.643875,0.663464,1.0,0.262108,0.262108,0.262108,6.606154,0.59634,1.414519,0.47683
18235971293,2,1,351,16.128205,4.358974,0.198467,7.683761,8.444444,0.628227,1.0,0.242165,0.242165,0.242165,7.571211,0.517457,1.088311,0.460986
18251588535,1,1,351,20.754986,5.512821,0.179302,7.663818,13.091168,0.565866,1.0,0.168091,0.168091,0.168091,13.744513,0.749598,3.25902,0.541079
18263188339,1,1,351,15.464387,3.7151,0.184847,7.680912,7.783476,0.615707,1.0,0.153846,0.153846,0.153846,9.621476,0.660461,2.436288,0.50987
18279784652,1,1,351,16.575499,4.62963,0.20993,7.478632,9.096866,0.593519,1.0,0.182336,0.182336,0.182336,8.19865,0.55865,1.311373,0.476188
18280916689,1,1,434,16.949309,3.914747,0.173682,7.794931,9.154378,0.597153,1.0,0.170507,0.170507,0.170507,9.570479,0.707042,3.13271,0.427857
18317816358,2,1,351,8.558405,0.128205,0.012481,7.603989,0.954416,0.925139,1.0,0.712251,0.712251,0.712251,12.244174,1.514521,5.827547,0.806347
18342820281,3,2,351,11.478632,2.584046,0.17262,6.096866,5.381766,0.635464,1.0,0.205128,0.205128,0.205128,5.74904,0.544972,1.501399,0.425127
18365196069,3,2,351,11.401709,2.404558,0.162102,6.39886,5.002849,0.670752,1.0,0.239316,0.239316,0.239316,6.891972,0.691198,1.923165,0.518386
18365921209,1,1,351,14.689459,3.361823,0.172857,7.618234,7.071225,0.645055,1.0,0.193732,0.193732,0.193732,11.20594,0.840776,4.778256,0.481709
18382558124,1,1,351,8.299145,0.222222,0.019466,7.31339,0.985755,0.917025,1.0,0.700855,0.700855,0.700855,15.172325,1.88961,8.055131,0.941764
18406334263,1,1,351,15.475783,4.188034,0.199324,7.732194,7.74359,0.635791,1.0,0.216524,0.216524,0.216524,9.403151,0.643983,1.685191,0.544652
18414093276,3,2,350,11.174286,2.342857,0.167226,6.414286,4.76,0.66545,1.0,0.205714,0.205714,0.205714,5.71628,0.555093,1.505451,0.430334
18437913321,3,2,351,11.22792,2.034188,0.137866,6.435897,4.792023,0.689187,1.0,0.267806,0.267806,0.267806,8.49863,0.797143,2.209621,0.624263
18470147017,1,1,351,11.68661,1.299145,0.083686,7.823362,3.863248,0.764941,1.0,0.347578,0.347578,0.347578,8.692752,0.761967,2.202151,0.597319
18505288570,2,1,351,12.538462,2.091168,0.12981,7.535613,5.002849,0.709166,1.0,0.262108,0.262108,0.262108,6.751963,0.568009,1.775083,0.433331
18535251369,3,2,351,12.911681,3.190883,0.175168,6.131054,6.780627,0.613238,1.0,0.190883,0.190883,0.190883,8.970259,0.7467,2.740746,0.538737
18550127145,3,2,353,12.29745,2.889518,0.180249,6.33711,5.96034,0.631526,1.0,0.212465,0.212465,0.212465,9.540618,0.849912,3.149856,0.589012
18551060410,3,2,351,11.698006,2.424501,0.157135,6.504274,5.193732,0.677751,1.0,0.25641,0.25641,0.25641,7.805735,0.745574,2.228689,0.551642
18623356438,3,2,351,10.994302,2.276353,0.162423,6.450142,4.54416,0.684773,1.0,0.233618,0.233618,0.233618,6.488533,0.650788,2.461205,0.430603
18628932616,1,1,350,13.182857,1.72,0.09545,7.84,5.342857,0.700468,1.0,0.254286,0.254286,0.254286,8.611069,0.695259,3.25744,0.427877
18635102186,2,1,374,13.852941,2.893048,0.141172,7.783422,6.069519,0.704061,1.0,0.302139,0.302139,0.302139,26.037372,2.105828,6.485527,1.646878
18636055184,3,2,351,11.381766,2.589744,0.169384,6.461538,4.920228,0.680402,1.0,0.282051,0.282051,0.282051,5.986117,0.599371,2.443744,0.36281
18648870798,3,2,351,10.270655,1.566952,0.112035,6.549858,3.720798,0.741985,1.0,0.344729,0.344729,0.344729,8.695738,0.893111,3.226046,0.600675
18658317186,1,1,351,11.507123,1.353276,0.077572,7.817664,3.689459,0.786029,1.0,0.358974,0.358974,0.358974,8.073191,0.719003,2.603379,0.460529
18664891854,3,2,351,11.558405,2.68661,0.172948,6.336182,5.222222,0.664136,1.0,0.216524,0.216524,0.216524,8.312954,0.820392,3.427724,0.466692
18702113651,2,1,351,12.766382,1.880342,0.089552,7.774929,4.991453,0.75636,1.0,0.373219,0.373219,0.373219,12.197692,1.026093,4.346749,0.65028
18738385115,1,1,351,13.492877,2.846154,0.168654,7.569801,5.923077,0.667535,1.0,0.159544,0.159544,0.159544,7.412217,0.642798,2.650903,0.396483
18758415613,3,2,351,11.139601,2.39886,0.161642,6.353276,4.786325,0.687619,1.0,0.250712,0.250712,0.250712,7.507316,0.787269,3.836846,0.394059
18759898127,1,1,355,17.512676,4.661972,0.197526,7.926761,9.585915,0.59492,1.0,0.132394,0.132394,0.132394,12.859456,0.860382,4.420975,0.52528
18765816132,3,2,351,11.965812,2.806268,0.173167,6.333333,5.632479,0.64474,1.0,0.19943,0.19943,0.19943,6.238285,0.581276,1.938154,0.426418
18767587251,3,2,449,12.291759,3.142539,0.201443,6.30735,5.98441,0.625572,1.0,0.187082,0.187082,0.187082,7.609472,0.702392,2.761579,0.46506
18770248267,3,2,351,10.897436,2.005698,0.141802,6.367521,4.529915,0.685449,1.0,0.236467,0.236467,0.236467,8.231105,0.816501,2.298607,0.605881
